                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.104,                 2.2739,                 1.5732,                0.78147,                0.39011,                0.49917,                0.36558,                 1.7737,                 2.3171,                  1.601,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0246,                 1.7235,                 1.4076,                0.78147,                0.39011,                0.49917,                0.36558,                 1.7737,                 2.3171,                  1.601,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.78204,                 1.0741,                  1.218,                0.78253,                 0.3898,                0.49945,                 0.3654,                 1.7692,                 2.3308,                 1.5953,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.87435,                 1.3268,                 1.2518,                0.78253,                 0.3898,                0.49945,                 0.3654,                 1.7692,                 2.3308,                 1.5953,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.98435,                 1.5777,                 1.2747,                0.78237,                0.39015,                0.49998,                0.36293,                 1.7799,                 2.3456,                 1.6041,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.59825,                 1.0189,                 1.1573,                0.78237,                0.39015,                0.49998,                0.36293,                 1.7799,                 2.3456,                 1.6041,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.95203,                 1.3746,                 1.4217,                0.78153,                0.39151,                 0.4983,                0.34938,                 1.7764,                 2.4051,                 1.6096,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.76018,                0.83038,                 1.0627,                0.78153,                0.39151,                 0.4983,                0.34938,                 1.7764,                 2.4051,                 1.6096,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.0755,                 1.6286,                 1.4697,                0.78435,                0.38857,                0.50221,                0.35008,                 1.7673,                 2.3783,                 1.6022,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 0.7989,                 1.3927,                 1.1553,                0.78435,                0.38857,                0.50221,                0.35008,                 1.7673,                 2.3783,                 1.6022,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.75672,                0.91912,                 1.2388,                0.78313,                0.38726,                 0.5015,                0.37984,                 1.7725,                 2.3883,                 1.6088,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.62199,                0.81551,                 1.1013,                0.78313,                0.38726,                 0.5015,                0.37984,                 1.7725,                 2.3883,                 1.6088,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.87954,                 1.2662,                 1.2564,                0.78081,                0.38723,                0.50193,                0.39778,                 1.7691,                 2.3991,                 1.6023,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.80954,                 1.2571,                 1.2815,                0.78081,                0.38723,                0.50193,                0.39778,                 1.7691,                 2.3991,                 1.6023,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.64528,                0.98578,                 1.0996,                0.77943,                0.38801,                0.50286,                0.39797,                 1.7674,                 2.4148,                 1.5902,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 0.8402,                 1.6507,                 1.2676,                0.77943,                0.38801,                0.50286,                0.39797,                 1.7674,                 2.4148,                 1.5902,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.74928,                0.70152,                 1.1834,                0.77864,                0.38804,                0.50354,                 0.3985,                 1.7744,                 2.4129,                 1.5878,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.77048,                 1.1777,                 1.1681,                0.77864,                0.38804,                0.50354,                 0.3985,                 1.7744,                 2.4129,                 1.5878,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.94388,                 1.2165,                 1.2003,                0.77358,                0.38855,                0.47889,                0.37446,                 1.7792,                  2.387,                 1.5848,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.95627,                 1.3541,                 1.3998,                0.77358,                0.38855,                0.47889,                0.37446,                 1.7792,                  2.387,                 1.5848,             3.0048e-05,             3.0048e-05,             3.0048e-05
